filename	class	min_x	min_y	max_x	max_y
n02100877_7636	Irish_setter	232	124	446	268
n02100877_2389	Irish_setter	29	20	164	206
n02100877_306	Irish_setter	28	100	239	491
n02100877_92	Irish_setter	153	151	296	249
n02100877_4699	Irish_setter	110	110	457	332
n02100877_511	Irish_setter	5	8	291	254
n02100877_4716	Irish_setter	10	1	430	374
n02100877_2824	Irish_setter	120	88	437	374
n02100877_1069	Irish_setter	7	0	468	374
n02100877_3865	Irish_setter	156	155	384	277
n02100877_5033	Irish_setter	82	31	382	332
n02100877_4852	Irish_setter	14	29	438	446
n02100877_738	Irish_setter	93	78	266	211
n02100877_5231	Irish_setter	61	146	425	420
n02100877_102	Irish_setter	31	42	311	303
n02100877_5184	Irish_setter	18	42	177	337
n02100877_2199	Irish_setter	2	24	499	374
n02100877_4259	Irish_setter	35	26	498	331
n02100877_1453	Irish_setter	102	30	371	496
n02100877_2832	Irish_setter	11	23	195	243
n02100877_4700	Irish_setter	1	1	452	390
n02100877_856	Irish_setter	71	51	466	332
n02100877_4099	Irish_setter	17	49	204	302
n02100877_2588	Irish_setter	2	0	188	148
n02100877_5998	Irish_setter	0	170	241	498
n02100877_2952	Irish_setter	70	59	472	323
n02100877_18	Irish_setter	217	115	434	280
n02100877_602	Irish_setter	0	105	216	316
n02100877_5861	Irish_setter	29	13	420	311
n02100877_3141	Irish_setter	46	47	350	497
n02100877_1965	Irish_setter	52	47	430	314
n02100877_788	Irish_setter	210	112	383	311
n02100877_1542	Irish_setter	32	95	390	497
n02100877_239	Irish_setter	80	31	453	360
n02100877_4406	Irish_setter	64	32	475	292
n02100877_6749	Irish_setter	136	129	434	374
